종목코드,종목명,종가,대비,등락률,상장시가총액
"012030","동부정밀","8150","10","0.12","32600000000"
"012200","계양전기","1220","5","0.41","39772000000"
"012400","옵티머스","425","-5","-1.16","49054311750"
"012420","메리츠종금","635","10","1.60","39973707200"
"012600","청호컴넷","8000","0","0.00","48850464000"
"012610","경인양행","16000","-200","-1.23","59840000000"
"013240","셀런","2110","-40","-1.86","66330331360"
"013520","화승알앤에이","5180","0","0.00","33442706780"
"013570","동양기전","2590","100","4.02","81313847720"
"014280","금강공업","7630","30","0.39","37051005320"
"014300","선진","17000","400","2.41","37400000000"
"014580","백광소재","13600","-150","-1.09","37513016000"
"014680","한솔케미칼","5200","140","2.77","58735014000"
"014790","한라건설","8650","50","0.58","83360534400"
"014990","인디에프","1015","-175","-14.71","59816989925"
"015590","대경기계","1490","0","0.00","81562436100"
"016450","한세실업","2070","0","0.00","82800000000"
"016510","현대DSF","6300","250","4.13","56700000000"
"016570","태평양제약","26100","550","2.15","55043516700"
"016710","대구가스","5050","-10","-0.20","81025230000"
"005420","코스모화학","2965","0","0.00","32617244505"
"005430","한국공항","26750","0","0.00","84699996250"
"005450","신한","11300","-100","-0.88","79265477200"
"005610","삼립식품","6810","-30","-0.44","58763551290"
"005720","넥센","14850","0","0.00","39767409000"
"005800","신영와코루","90000","1100","1.24","81000000000"
"005810","풍산홀딩스","9050","-170","-1.84","70908261350"
"005870","휴니드","2870","150","5.51","28918163050"
"005980","성지건설","5490","120","2.23","32940000000"
"006070","기린","930","-20","-2.11","43796705760"
"006090","오양수산","6790","90","1.34","29604400000"
"006340","대원전선","4670","-20","-0.43","31788942180"
"006440","한일건설","4870","20","0.41","55870042560"
"006490","로엔케이","4850","200","4.30","41335948600"
"006570","대림통상","4220","20","0.48","64249500000"
"006660","삼성공조","5500","200","3.77","44694727000"
"006740","영풍제지","18800","1300","7.43","41736000000"
"006890","태경화학","2800","-45","-1.58","32480000000"
"006980","우성사료","1150","0","0.00","35535000000"
"007110","일신석재","535","15","2.88","41439286350"
"007190","이엔페이퍼","1840","60","3.37","43682442720"
"007200","진흥저축은행","1885","45","2.45","65975000000"
"007210","벽산","6920","150","2.22","47443520000"
"007280","한국특수형강","53400","-300","-0.56","53400000000"
"007460","케이아이씨","5250","250","5.00","79693204500"
"007610","선도전기","1835","75","4.26","32249080885"
"007660","이수페타시스","1265","5","0.40","40712066780"
"007700","F&F","3000","165","5.82","46200000000"
"007800","솔로몬저축은행","2450","35","1.45","41164998000"
"007810","코리아써키트","1755","5","0.29","32878749150"
"007860","한일이화","1285","-10","-0.77","50649371105"
"008020","경남에너지","2280","30","1.33","67937752800"
"008040","동아에스에프","3680","30","0.82","78639579680"
"008250","이건산업","4935","125","2.60","36718058160"
"008260","NI스틸","2260","-95","-4.03","64244681000"
"008350","남선알미늄","3840","-115","-2.91","35781538560"
"008420","문배철강","2120","90","4.43","43467430600"
"008490","서흥캅셀","5100","250","5.15","57147948000"
"008870","금비","33000","2100","6.80","33000000000"
"008900","티이씨앤코","2050","-35","-1.68","33736952500"
"008970","동양철관","895","45","5.29","57312718515"
"009070","KCTC","11100","300","2.78","33300000000"
"009160","SIMPAC","2525","140","5.87","69591525000"
"002360","SH에너지화학","420","25","6.33","46676166600"
"002450","삼익악기","530","10","1.92","37381386010"
"002460","화성산업","5300","-120","-2.21","65989240000"
"002530","벽산건설","2050","85","4.33","56194272000"
"002630","오리엔트바이오","620","5","0.81","48934664360"
"002710","동양석판","11950","150","1.27","32265000000"
"002810","삼영무역","2735","-110","-3.87","42241798765"
"002820","선창산업","28350","-550","-1.90","56700000000"
"002840","미원상사","41500","0","0.00","83000000000"
"002900","동양물산","5600","160","2.94","36617784000"
"002920","유성기업","1710","0","0.00","43092649800"
"003010","혜인","3850","-490","-11.29","47852112000"
"003080","성보화학","20400","-600","-2.86","40840800000"
"003160","디아이","955","65","7.30","29741359675"
"003190","알앤엘바이오","995","-5","-0.50","47503334775"
"003220","대원제약","3700","200","5.71","43990373000"
"003350","한국화장품","2670","-20","-0.74","55002000000"
"003560","IHQ","1540","5","0.33","62116235720"
"003580","동원","6150","190","3.19","28995946200"
"003610","방림","10600","350","3.41","44852935400"
"003650","미창석유","20650","-500","-2.36","35924226800"
"003830","대한화섬","61100","-300","-0.49","81140800000"
"003850","보령제약","19650","-50","-0.25","58164000000"
"003960","사조대림","12350","-250","-1.98","64999223250"
"004090","한국석유","67600","-7300","-9.75","44291520000"
"004140","동방","2195","215","10.86","47245114150"
"004200","고려개발","5800","170","3.02","69600000000"
"004250","내쇼날푸라스","7730","10","0.13","28384560000"
"004310","현대약품","2090","-25","-1.18","58520000000"
"004380","삼익THK","1535","-25","-1.60","32235000000"
"004410","서울식품","6250","220","3.65","38355062500"
"004450","삼화왕관","16300","600","3.82","61619786500"
"004560","BNG스틸","4125","25","0.61","62200095375"
"004700","조광피혁","4860","-5","-0.10","32314810680"
"004710","한솔LCD","13000","200","1.56","82267432000"
"004720","우리들생명과학","445","-5","-1.11","32253255570"
"004820","조인에너지","2385","-420","-14.97","32347194525"
"004840","동일벨트","1610","15","0.94","31234000000"
"004980","성신양회","3980","480","13.71","76188244500"
"005350","선우ST","580","-20","-3.33","43637120700"
"005390","신성통상","2155","0","0.00","30969158045"
"086720","코크렙7호","5150","70","1.38","61800000000"
"090540","코크렙8호","4350","0","0.00","40020000000"
"000040","S&T모터스","295","10","3.51","32624704310"
"000220","유유제약","6700","220","3.40","39070715000"
"000300","대유신소재","1115","60","5.69","51698260595"
"000320","디피아이홀딩스","4890","190","4.04","64541207790"
"000390","삼화페인트","2920","45","1.57","65408000000"
"000490","대동공업","14850","350","2.41","70472783700"
"000500","가온전선","18300","300","1.67","71370000000"
"000520","삼일제약","6080","220","3.75","33440000000"
"000650","천일고속","39300","2000","5.36","56168346000"
"000790","C&상선","150","-15","-9.09","29736316950"
"000850","화천기공","22000","150","0.69","48400000000"
"000860","건설화학","10300","-50","-0.48","66950000000"
"000890","보해양조","13000","200","1.56","28633163000"
"000910","유니온","5020","-20","-0.40","71398958000"
"000950","전방","28450","100","0.35","47796000000"
"000970","한국주철관","2400","45","1.91","54721200000"
"001020","페이퍼코리아","6700","-500","-6.94","66839307200"
"001060","중외제약","8870","0","0.00","80190796120"
"001080","만호제강","10900","50","0.46","45235000000"
"001250","쌍용","5740","-110","-1.88","61300456280"
"001290","골든브릿지증권","1630","30","1.88","79441419210"
"001310","풍림산업","2510","5","0.20","54015200000"
"001380","SG글로벌","3930","5","0.13","50482323750"
"001390","KG케미칼","4715","-85","-1.77","50450500000"
"001460","BYC","135500","3500","2.65","84635332500"
"001560","제일연마","3745","170","4.76","37450000000"
"001780","동양강철","890","0","0.00","40799041800"
"001820","삼화콘덴서","5620","370","7.05","58419900000"
"001880","삼호","3840","240","6.67","55296000000"
"002070","남영L&F","31000","1550","5.26","42581259000"
"002100","경농","3415","90","2.71","74077326250"
"002170","삼양통상","18800","550","3.01","56400000000"
"002200","수출포장","7240","270","3.87","28960000000"
"002250","근화제약","11600","-400","-3.33","37815895600"
"002310","아세아제지","5460","30","0.55","32987463600"
